ID;time-stamp;hour;day-of-week;available-bike-stands;available-bikes
1001;2015-02-01 00:01:58+00:00;0;Sunday;2;14
1001;2015-02-01 00:02:51+00:00;0;Sunday;3;13
1001;2015-02-01 00:07:33+00:00;0;Sunday;3;13
1001;2015-02-01 00:08:22+00:00;0;Sunday;4;12
1001;2015-02-01 00:12:01+00:00;0;Sunday;3;13
1001;2015-02-01 00:22:05+00:00;0;Sunday;3;13
1001;2015-02-01 00:32:09+00:00;0;Sunday;3;13
1001;2015-02-01 00:37:15+00:00;0;Sunday;4;12
1001;2015-02-01 00:38:29+00:00;0;Sunday;4;12
1001;2015-02-01 00:38:48+00:00;0;Sunday;5;11
1001;2015-02-01 00:40:24+00:00;0;Sunday;6;10
1001;2015-02-01 00:41:27+00:00;0;Sunday;6;10
1001;2015-02-01 00:42:20+00:00;0;Sunday;8;8
1001;2015-02-01 00:51:30+00:00;0;Sunday;9;7
1001;2015-02-01 00:54:22+00:00;0;Sunday;8;8
1001;2015-02-01 01:04:25+00:00;1;Sunday;8;8
1001;2015-02-01 01:10:20+00:00;1;Sunday;9;7
1001;2015-02-01 01:11:39+00:00;1;Sunday;9;7
1001;2015-02-01 01:12:11+00:00;1;Sunday;10;6
1001;2015-02-01 01:13:37+00:00;1;Sunday;9;7
1001;2015-02-01 01:13:53+00:00;1;Sunday;8;8
1001;2015-02-01 01:22:33+00:00;1;Sunday;9;7
1001;2015-02-01 01:23:09+00:00;1;Sunday;8;8
1001;2015-02-01 01:26:11+00:00;1;Sunday;9;7
1001;2015-02-01 01:27:35+00:00;1;Sunday;10;6
1001;2015-02-01 01:28:40+00:00;1;Sunday;10;6
1001;2015-02-01 01:28:43+00:00;1;Sunday;9;7
1001;2015-02-01 01:31:47+00:00;1;Sunday;8;8
1001;2015-02-01 01:33:17+00:00;1;Sunday;9;7
1001;2015-02-01 01:34:35+00:00;1;Sunday;9;7
1001;2015-02-01 01:35:05+00:00;1;Sunday;10;6
1001;2015-02-01 01:36:40+00:00;1;Sunday;10;6
1001;2015-02-01 01:37:42+00:00;1;Sunday;11;5
1001;2015-02-01 01:38:41+00:00;1;Sunday;13;3
1001;2015-02-01 01:38:48+00:00;1;Sunday;11;5
1001;2015-02-01 01:44:18+00:00;1;Sunday;11;5
1001;2015-02-01 01:44:46+00:00;1;Sunday;12;4
1001;2015-02-01 01:52:26+00:00;1;Sunday;12;4
1001;2015-02-01 01:53:28+00:00;1;Sunday;13;3
1001;2015-02-01 01:54:17+00:00;1;Sunday;14;2
1001;2015-02-01 02:02:20+00:00;2;Sunday;15;1
1001;2015-02-01 02:09:11+00:00;2;Sunday;15;1
1001;2015-02-01 02:10:04+00:00;2;Sunday;16;0
1001;2015-02-01 02:13:42+00:00;2;Sunday;15;1
1001;2015-02-01 02:14:34+00:00;2;Sunday;12;4
1001;2015-02-01 02:16:20+00:00;2;Sunday;12;4
1001;2015-02-01 02:17:25+00:00;2;Sunday;12;4
1001;2015-02-01 02:17:58+00:00;2;Sunday;12;4
1001;2015-02-01 02:20:43+00:00;2;Sunday;13;3
1001;2015-02-01 02:22:40+00:00;2;Sunday;13;3
1001;2015-02-01 02:23:14+00:00;2;Sunday;14;2
1001;2015-02-01 02:27:12+00:00;2;Sunday;13;3
1001;2015-02-01 02:29:16+00:00;2;Sunday;12;4
1001;2015-02-01 02:30:18+00:00;2;Sunday;11;5
1001;2015-02-01 02:38:38+00:00;2;Sunday;11;5
1001;2015-02-01 02:39:04+00:00;2;Sunday;12;4
1001;2015-02-01 02:42:29+00:00;2;Sunday;12;4
1001;2015-02-01 02:42:57+00:00;2;Sunday;13;3
1001;2015-02-01 02:44:41+00:00;2;Sunday;12;4
1001;2015-02-01 02:54:45+00:00;2;Sunday;12;4
1001;2015-02-01 03:02:20+00:00;3;Sunday;12;4
1001;2015-02-01 03:02:54+00:00;3;Sunday;13;3
1001;2015-02-01 03:11:26+00:00;3;Sunday;13;3
1001;2015-02-01 03:13:17+00:00;3;Sunday;13;3
1001;2015-02-01 03:16:29+00:00;3;Sunday;13;3
1001;2015-02-01 03:22:24+00:00;3;Sunday;13;3
1001;2015-02-01 03:23:42+00:00;3;Sunday;15;1
1001;2015-02-01 03:24:42+00:00;3;Sunday;14;2
1001;2015-02-01 03:34:46+00:00;3;Sunday;14;2
1001;2015-02-01 03:44:50+00:00;3;Sunday;14;2
1001;2015-02-01 03:54:53+00:00;3;Sunday;14;2
1001;2015-02-01 04:04:57+00:00;4;Sunday;14;2
1001;2015-02-01 04:15:01+00:00;4;Sunday;14;2
1001;2015-02-01 04:16:38+00:00;4;Sunday;13;3
1001;2015-02-01 04:26:41+00:00;4;Sunday;13;3
1001;2015-02-01 04:36:45+00:00;4;Sunday;13;3
1001;2015-02-01 04:46:48+00:00;4;Sunday;13;3
1001;2015-02-01 04:53:10+00:00;4;Sunday;13;3
1001;2015-02-01 04:53:48+00:00;4;Sunday;14;2
1001;2015-02-01 05:03:51+00:00;5;Sunday;14;2
1001;2015-02-01 05:13:55+00:00;5;Sunday;14;2
1001;2015-02-01 05:23:59+00:00;5;Sunday;14;2
1001;2015-02-01 05:34:02+00:00;5;Sunday;14;2
1001;2015-02-01 05:35:41+00:00;5;Sunday;14;2
1001;2015-02-01 05:38:23+00:00;5;Sunday;14;2
1001;2015-02-01 05:48:27+00:00;5;Sunday;14;2
1001;2015-02-01 05:58:31+00:00;5;Sunday;14;2
1001;2015-02-01 06:08:35+00:00;6;Sunday;14;2
1001;2015-02-01 06:18:39+00:00;6;Sunday;14;2
1001;2015-02-01 06:19:42+00:00;6;Sunday;14;2
1001;2015-02-01 06:19:44+00:00;6;Sunday;15;1
1001;2015-02-01 06:29:48+00:00;6;Sunday;15;1
1001;2015-02-01 06:39:52+00:00;6;Sunday;15;1
1001;2015-02-01 06:49:56+00:00;6;Sunday;15;1
1001;2015-02-01 07:00:00+00:00;7;Sunday;15;1
1001;2015-02-01 07:10:03+00:00;7;Sunday;15;1
1001;2015-02-01 07:20:07+00:00;7;Sunday;15;1
1001;2015-02-01 07:30:11+00:00;7;Sunday;15;1
1001;2015-02-01 07:40:15+00:00;7;Sunday;15;1
1001;2015-02-01 07:46:10+00:00;7;Sunday;16;0
1001;2015-02-01 07:56:15+00:00;7;Sunday;16;0
1001;2015-02-01 08:06:18+00:00;8;Sunday;16;0
1001;2015-02-01 08:16:22+00:00;8;Sunday;16;0
1001;2015-02-01 08:25:06+00:00;8;Sunday;15;1
1001;2015-02-01 08:35:09+00:00;8;Sunday;15;1
1001;2015-02-01 08:45:13+00:00;8;Sunday;15;1
1001;2015-02-01 08:55:17+00:00;8;Sunday;15;1
1001;2015-02-01 08:58:40+00:00;8;Sunday;14;2
1001;2015-02-01 09:00:31+00:00;9;Sunday;13;3
1001;2015-02-01 09:03:14+00:00;9;Sunday;12;4
1001;2015-02-01 09:13:18+00:00;9;Sunday;12;4
1001;2015-02-01 09:18:30+00:00;9;Sunday;12;4
1001;2015-02-01 09:19:00+00:00;9;Sunday;13;3
1001;2015-02-01 09:29:04+00:00;9;Sunday;13;3
1001;2015-02-01 09:29:52+00:00;9;Sunday;12;4
1001;2015-02-01 09:36:33+00:00;9;Sunday;12;4
1001;2015-02-01 09:37:08+00:00;9;Sunday;13;3
1001;2015-02-01 09:47:11+00:00;9;Sunday;13;3
1001;2015-02-01 09:57:15+00:00;9;Sunday;13;3
1001;2015-02-01 10:01:22+00:00;10;Sunday;14;2
1001;2015-02-01 10:07:07+00:00;10;Sunday;13;3
1001;2015-02-01 10:13:26+00:00;10;Sunday;14;2
1001;2015-02-01 10:22:40+00:00;10;Sunday;14;2
1001;2015-02-01 10:22:42+00:00;10;Sunday;15;1
1001;2015-02-01 10:32:46+00:00;10;Sunday;15;1
1001;2015-02-01 10:35:57+00:00;10;Sunday;14;2
1001;2015-02-01 10:46:01+00:00;10;Sunday;14;2
1001;2015-02-01 10:56:05+00:00;10;Sunday;14;2
1001;2015-02-01 10:58:05+00:00;10;Sunday;13;3
1001;2015-02-01 11:03:33+00:00;11;Sunday;14;2
1001;2015-02-01 11:11:42+00:00;11;Sunday;14;2
1001;2015-02-01 11:12:35+00:00;11;Sunday;14;2
1001;2015-02-01 11:13:34+00:00;11;Sunday;15;1
1001;2015-02-01 11:14:06+00:00;11;Sunday;16;0
1001;2015-02-01 11:24:09+00:00;11;Sunday;16;0
1001;2015-02-01 11:34:13+00:00;11;Sunday;16;0
1001;2015-02-01 11:44:06+00:00;11;Sunday;15;1
1001;2015-02-01 11:46:26+00:00;11;Sunday;15;1
1001;2015-02-01 11:46:53+00:00;11;Sunday;16;0
1001;2015-02-01 11:52:10+00:00;11;Sunday;15;1
1001;2015-02-01 12:02:14+00:00;12;Sunday;15;1
1001;2015-02-01 12:03:36+00:00;12;Sunday;14;2
1001;2015-02-01 12:04:04+00:00;12;Sunday;15;1
1001;2015-02-01 12:14:08+00:00;12;Sunday;15;1
1001;2015-02-01 12:24:12+00:00;12;Sunday;15;1
1001;2015-02-01 12:29:23+00:00;12;Sunday;13;3
1001;2015-02-01 12:38:21+00:00;12;Sunday;12;4
1001;2015-02-01 12:41:28+00:00;12;Sunday;11;5
1001;2015-02-01 12:46:08+00:00;12;Sunday;10;6
1001;2015-02-01 12:56:12+00:00;12;Sunday;10;6
1001;2015-02-01 13:02:16+00:00;13;Sunday;11;5
1001;2015-02-01 13:10:42+00:00;13;Sunday;11;5
1001;2015-02-01 13:10:44+00:00;13;Sunday;10;6
1001;2015-02-01 13:15:31+00:00;13;Sunday;10;6
1001;2015-02-01 13:16:22+00:00;13;Sunday;11;5
1001;2015-02-01 13:26:25+00:00;13;Sunday;11;5
1001;2015-02-01 13:36:29+00:00;13;Sunday;11;5
1001;2015-02-01 13:41:42+00:00;13;Sunday;10;6
1001;2015-02-01 13:41:51+00:00;13;Sunday;7;9
1001;2015-02-01 13:51:56+00:00;13;Sunday;7;9
1001;2015-02-01 13:57:31+00:00;13;Sunday;8;8
