ID,timeStamp,hour,dayOfWeek,availableBikeStands,availalbeBikes
10113,2014-03-14 23:08:07+00:00,23,Friday,20,1
10113,2014-03-14 23:18:10+00:00,23,Friday,20,1
10113,2014-03-14 23:28:13+00:00,23,Friday,20,1
10113,2014-03-14 23:38:17+00:00,23,Friday,20,1
10113,2014-03-14 23:48:21+00:00,23,Friday,20,1
10113,2014-03-14 23:58:24+00:00,23,Friday,20,1
7018,2014-03-14 23:03:56+00:00,23,Friday,12,8
7018,2014-03-14 23:10:15+00:00,23,Friday,11,9
7018,2014-03-14 23:20:19+00:00,23,Friday,11,9
7018,2014-03-14 23:23:19+00:00,23,Friday,9,11
7018,2014-03-14 23:33:22+00:00,23,Friday,9,11
7018,2014-03-14 23:39:01+00:00,23,Friday,8,12
7018,2014-03-14 23:49:04+00:00,23,Friday,8,12
7018,2014-03-14 23:53:39+00:00,23,Friday,7,13
7018,2014-03-14 23:58:35+00:00,23,Friday,4,16
4004,2014-03-14 23:02:29+00:00,23,Friday,21,0
4004,2014-03-14 23:12:33+00:00,23,Friday,21,0
4004,2014-03-14 23:22:36+00:00,23,Friday,21,0
4004,2014-03-14 23:32:40+00:00,23,Friday,21,0
4004,2014-03-14 23:42:44+00:00,23,Friday,21,0
4004,2014-03-14 23:52:47+00:00,23,Friday,21,0
8001,2014-03-14 23:00:19+00:00,23,Friday,15,11
8001,2014-03-14 23:01:56+00:00,23,Friday,14,12
8001,2014-03-14 23:04:25+00:00,23,Friday,14,12
8001,2014-03-14 23:04:46+00:00,23,Friday,15,11
8001,2014-03-14 23:09:21+00:00,23,Friday,13,13
8001,2014-03-14 23:15:01+00:00,23,Friday,13,13
8001,2014-03-14 23:16:00+00:00,23,Friday,11,15
8001,2014-03-14 23:18:27+00:00,23,Friday,12,14
8001,2014-03-14 23:20:24+00:00,23,Friday,11,15
8001,2014-03-14 23:24:25+00:00,23,Friday,9,17
8001,2014-03-14 23:25:25+00:00,23,Friday,8,18
8001,2014-03-14 23:26:34+00:00,23,Friday,7,19
8001,2014-03-14 23:33:27+00:00,23,Friday,8,18
8001,2014-03-14 23:43:30+00:00,23,Friday,8,18
8001,2014-03-14 23:47:19+00:00,23,Friday,9,17
8001,2014-03-14 23:48:24+00:00,23,Friday,10,16
8001,2014-03-14 23:48:29+00:00,23,Friday,11,15
8001,2014-03-14 23:50:27+00:00,23,Friday,11,15
8001,2014-03-14 23:50:29+00:00,23,Friday,12,14
8001,2014-03-14 23:52:15+00:00,23,Friday,12,14
8001,2014-03-14 23:53:00+00:00,23,Friday,14,12
8001,2014-03-14 23:55:17+00:00,23,Friday,13,13
8001,2014-03-14 23:56:25+00:00,23,Friday,14,12
8001,2014-03-14 23:59:11+00:00,23,Friday,14,12
9042,2014-03-14 23:00:55+00:00,23,Friday,19,0
9042,2014-03-14 23:10:59+00:00,23,Friday,19,0
9042,2014-03-14 23:21:03+00:00,23,Friday,19,0
9042,2014-03-14 23:31:07+00:00,23,Friday,19,0
9042,2014-03-14 23:41:10+00:00,23,Friday,19,0
9042,2014-03-14 23:51:14+00:00,23,Friday,19,0
8052,2014-03-14 23:01:39+00:00,23,Friday,0,14
8052,2014-03-14 23:11:42+00:00,23,Friday,0,14
8052,2014-03-14 23:21:46+00:00,23,Friday,0,14
8052,2014-03-14 23:31:49+00:00,23,Friday,0,14
8052,2014-03-14 23:41:53+00:00,23,Friday,0,14
8052,2014-03-14 23:51:56+00:00,23,Friday,0,14
9044,2014-03-14 23:09:17+00:00,23,Friday,9,6
9044,2014-03-14 23:19:22+00:00,23,Friday,9,6
9044,2014-03-14 23:29:26+00:00,23,Friday,9,6
9044,2014-03-14 23:39:29+00:00,23,Friday,9,6
9044,2014-03-14 23:49:33+00:00,23,Friday,9,6
9044,2014-03-14 23:56:24+00:00,23,Friday,8,7
10001,2014-03-14 23:07:37+00:00,23,Friday,26,3
10001,2014-03-14 23:17:41+00:00,23,Friday,26,3
10001,2014-03-14 23:27:44+00:00,23,Friday,26,3
10001,2014-03-14 23:37:48+00:00,23,Friday,26,3
10001,2014-03-14 23:47:52+00:00,23,Friday,26,3
10001,2014-03-14 23:57:57+00:00,23,Friday,26,3
10001,2014-03-14 23:59:40+00:00,23,Friday,25,4
5030,2014-03-14 23:09:41+00:00,23,Friday,32,0
5030,2014-03-14 23:19:45+00:00,23,Friday,32,0
5030,2014-03-14 23:29:49+00:00,23,Friday,32,0
5030,2014-03-14 23:39:52+00:00,23,Friday,32,0
5030,2014-03-14 23:49:56+00:00,23,Friday,32,0
7056,2014-03-14 23:03:56+00:00,23,Friday,0,22
7056,2014-03-14 23:14:01+00:00,23,Friday,0,22
7056,2014-03-14 23:19:01+00:00,23,Friday,0,22
7056,2014-03-14 23:25:45+00:00,23,Friday,0,22
7056,2014-03-14 23:26:34+00:00,23,Friday,1,21
7056,2014-03-14 23:30:01+00:00,23,Friday,1,21
7056,2014-03-14 23:31:11+00:00,23,Friday,2,20
7056,2014-03-14 23:31:54+00:00,23,Friday,4,18
7056,2014-03-14 23:38:33+00:00,23,Friday,3,19
7056,2014-03-14 23:41:15+00:00,23,Friday,3,19
7056,2014-03-14 23:43:11+00:00,23,Friday,3,19
7056,2014-03-14 23:44:25+00:00,23,Friday,4,18
7056,2014-03-14 23:44:52+00:00,23,Friday,5,17
7056,2014-03-14 23:47:13+00:00,23,Friday,5,17
7056,2014-03-14 23:48:03+00:00,23,Friday,6,16
7056,2014-03-14 23:48:49+00:00,23,Friday,7,15
7056,2014-03-14 23:49:49+00:00,23,Friday,6,16
7056,2014-03-14 23:55:25+00:00,23,Friday,7,15
7056,2014-03-14 23:56:04+00:00,23,Friday,8,14
7056,2014-03-14 23:58:45+00:00,23,Friday,7,15
7056,2014-03-14 23:59:31+00:00,23,Friday,8,14
10110,2014-03-14 23:04:30+00:00,23,Friday,0,18
10110,2014-03-14 23:14:34+00:00,23,Friday,0,18
10110,2014-03-14 23:24:37+00:00,23,Friday,0,18
10110,2014-03-14 23:34:42+00:00,23,Friday,0,18
10110,2014-03-14 23:44:48+00:00,23,Friday,0,18
10110,2014-03-14 23:54:52+00:00,23,Friday,0,18
10046,2014-03-14 23:01:24+00:00,23,Friday,1,23
10046,2014-03-14 23:02:11+00:00,23,Friday,1,23
10046,2014-03-14 23:02:54+00:00,23,Friday,2,22
